"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US13057090101","Census Tract 901.01; Cherokee County; Georgia","4968","934","4721","935","4469","925","114","131","0","14","55","63","0","14","0","14","83","68","22","32","61","62","247","151","41","48","0","14","67","97","0","14","0","14","20","29","119","106","119","106","0","14",
"1400000US13057090102","Census Tract 901.02; Cherokee County; Georgia","5166","494","4884","647","4575","625","85","92","9","12","110","83","0","20","0","20","105","78","0","20","105","78","282","289","16","31","0","20","0","20","0","20","0","20","219","259","47","78","47","78","0","20",
"1400000US13057090103","Census Tract 901.03; Cherokee County; Georgia","1958","281","1927","283","1773","304","32","38","2","4","0","14","0","14","0","14","120","62","29","32","91","53","31","34","11","14","0","14","0","14","0","14","0","14","0","14","20","30","20","30","0","14",
"1400000US13057090201","Census Tract 902.01; Cherokee County; Georgia","2472","456","2424","458","2337","471","63","70","0","14","0","14","0","14","18","26","6","8","0","14","6","8","48","46","18","20","0","14","0","14","0","14","0","14","0","14","30","37","23","35","7","11",
"1400000US13057090202","Census Tract 902.02; Cherokee County; Georgia","7217","1024","6681","1053","6438","1052","150","65","0","20","9","21","0","20","15","25","69","51","5","9","64","51","536","482","26","33","6","16","15","28","0","20","0","20","318","433","171","160","82","81","89","131",
"1400000US13057090301","Census Tract 903.01; Cherokee County; Georgia","5697","1221","5293","1266","4519","1222","206","208","7","12","118","86","0","20","175","268","268","180","137","158","131","85","404","206","305","171","83","71","0","20","0","20","0","20","16","26","0","20","0","20","0","20",
"1400000US13057090302","Census Tract 903.02; Cherokee County; Georgia","2474","463","2429","463","1797","255","151","180","0","14","54","57","0","14","9","14","418","334","56","63","362","326","45","48","19","21","0","14","0","14","0","14","0","14","0","14","26","43","26","43","0","14",
"1400000US13057090303","Census Tract 903.03; Cherokee County; Georgia","6315","760","6113","729","5597","628","415","410","0","20","44","74","0","20","0","20","57","55","0","20","57","55","202","156","0","20","0","20","0","20","0","20","0","20","88","139","114","89","114","89","0","20",
"1400000US13057090401","Census Tract 904.01; Cherokee County; Georgia","6518","1027","3989","907","2883","755","782","321","29","36","8","13","0","20","0","20","287","265","0","20","287","265","2529","946","418","349","88","131","754","723","0","20","0","20","971","595","298","401","298","401","0","20",
"1400000US13057090402","Census Tract 904.02; Cherokee County; Georgia","6273","675","5156","714","4442","727","231","183","0","20","71","89","0","20","0","20","412","248","30","33","382","246","1117","453","212","169","0","20","330","372","0","20","0","20","347","226","228","283","228","283","0","20",
"1400000US13057090503","Census Tract 905.03; Cherokee County; Georgia","4723","763","4078","592","3889","595","17","20","0","14","23","30","0","14","23","37","126","68","29","44","97","71","645","544","0","14","0","14","0","14","0","14","0","14","544","545","101","97","101","97","0","14",
"1400000US13057090504","Census Tract 905.04; Cherokee County; Georgia","5506","1400","5279","1368","5125","1383","45","56","0","20","0","20","0","20","13","23","96","84","26","45","70","76","227","273","0","20","36","66","0","20","0","20","0","20","174","262","17","27","17","27","0","20",
"1400000US13057090505","Census Tract 905.05; Cherokee County; Georgia","5008","456","4796","470","4575","537","72","67","0","20","85","91","0","20","0","20","64","44","13","21","51","38","212","152","10","18","0","20","81","120","0","20","0","20","12","22","109","91","109","91","0","20",
"1400000US13057090506","Census Tract 905.06; Cherokee County; Georgia","4440","540","4192","554","3955","557","100","108","0","14","50","54","0","14","0","14","87","64","41","53","46","38","248","199","11","16","0","14","0","14","0","14","0","14","41","69","196","189","103","100","93","100",
