"GEO_ID","NAME","B25037_001E","B25037_001M","B25037_002E","B25037_002M","B25037_003E","B25037_003M",
"Geography","Geographic Area Name","Estimate!!Median year structure built --!!Total:","Margin of Error!!Median year structure built --!!Total:","Estimate!!Median year structure built --!!Owner occupied","Margin of Error!!Median year structure built --!!Owner occupied","Estimate!!Median year structure built --!!Renter occupied","Margin of Error!!Median year structure built --!!Renter occupied",
"1400000US13057090101","Census Tract 901.01; Cherokee County; Georgia","1996","5","1999","3","1965","2",
"1400000US13057090102","Census Tract 901.02; Cherokee County; Georgia","2002","4","2003","4","1987","11",
"1400000US13057090103","Census Tract 901.03; Cherokee County; Georgia","1994","5","1995","5","1980","52",
"1400000US13057090201","Census Tract 902.01; Cherokee County; Georgia","1995","4","1998","4","1965","10",
"1400000US13057090202","Census Tract 902.02; Cherokee County; Georgia","2000","4","2000","3","1987","19",
"1400000US13057090301","Census Tract 903.01; Cherokee County; Georgia","2004","2","2004","2","2006","6",
"1400000US13057090302","Census Tract 903.02; Cherokee County; Georgia","2002","3","2002","3","2003","38",
"1400000US13057090303","Census Tract 903.03; Cherokee County; Georgia","2008","2","2008","2","2014","4",
"1400000US13057090401","Census Tract 904.01; Cherokee County; Georgia","1993","4","1999","36","1992","4",
"1400000US13057090402","Census Tract 904.02; Cherokee County; Georgia","2009","3","2007","3","2012","3",
"1400000US13057090503","Census Tract 905.03; Cherokee County; Georgia","1997","5","1997","5","-","**",
"1400000US13057090504","Census Tract 905.04; Cherokee County; Georgia","2003","3","2004","3","-","**",
"1400000US13057090505","Census Tract 905.05; Cherokee County; Georgia","2004","2","2004","1","2002","37",
"1400000US13057090506","Census Tract 905.06; Cherokee County; Georgia","2002","3","2002","3","1993","11",
"1400000US13057090507","Census Tract 905.07; Cherokee County; Georgia","1989","8","1990","12","1984","3",
"1400000US13057090603","Census Tract 906.03; Cherokee County; Georgia","2001","3","2002","2","1994","5",
"1400000US13057090604","Census Tract 906.04; Cherokee County; Georgia","1988","20","1992","13","1973","55",
"1400000US13057090605","Census Tract 906.05; Cherokee County; Georgia","1998","6","1999","8","1998","9",
"1400000US13057090606","Census Tract 906.06; Cherokee County; Georgia","1997","5","1999","4","1992","28",
"1400000US13057090703","Census Tract 907.03; Cherokee County; Georgia","1997","12","1990","8","2003","16",
"1400000US13057090704","Census Tract 907.04; Cherokee County; Georgia","1989","4","1992","3","1985","3",
"1400000US13057090705","Census Tract 907.05; Cherokee County; Georgia","1994","5","1991","4","2014","2",
"1400000US13057090706","Census Tract 907.06; Cherokee County; Georgia","2004","2","2005","2","1999","5",
"1400000US13057090707","Census Tract 907.07; Cherokee County; Georgia","2005","2","2005","1","2004","3",
"1400000US13057090708","Census Tract 907.08; Cherokee County; Georgia","2007","3","2006","3","2007","5",
"1400000US13057090709","Census Tract 907.09; Cherokee County; Georgia","2011","3","2012","3","2005","15",
"1400000US13057090710","Census Tract 907.10; Cherokee County; Georgia","2003","3","2003","3","2003","11",
"1400000US13057090805","Census Tract 908.05; Cherokee County; Georgia","1992","6","1991","6","1997","25",
"1400000US13057090806","Census Tract 908.06; Cherokee County; Georgia","2001","2","2001","2","-","**",
"1400000US13057090807","Census Tract 908.07; Cherokee County; Georgia","2007","2","2007","1","2003","4",
"1400000US13057090808","Census Tract 908.08; Cherokee County; Georgia","1999","3","2001","4","1993","9",
"1400000US13057090809","Census Tract 908.09; Cherokee County; Georgia","1987","2","1987","3","1985","9",
"1400000US13057090810","Census Tract 908.10; Cherokee County; Georgia","2008","4","2009","4","1992","24",
"1400000US13057090905","Census Tract 909.05; Cherokee County; Georgia","1996","3","1993","5","1998","3",
"1400000US13057090906","Census Tract 909.06; Cherokee County; Georgia","2007","4","2007","4","2010","44",
"1400000US13057090907","Census Tract 909.07; Cherokee County; Georgia","1993","4","1993","4","2001","17",
"1400000US13057090908","Census Tract 909.08; Cherokee County; Georgia","2004","2","2004","2","2003","7",
"1400000US13057090909","Census Tract 909.09; Cherokee County; Georgia","2005","4","2005","3","2002","27",
"1400000US13057090910","Census Tract 909.10; Cherokee County; Georgia","2005","3","2006","3","2001","19",
"1400000US13057090911","Census Tract 909.11; Cherokee County; Georgia","1991","5","1992","7","1983","16",
"1400000US13057090912","Census Tract 909.12; Cherokee County; Georgia","1993","7","1994","8","1986","10",
"1400000US13057091001","Census Tract 910.01; Cherokee County; Georgia","2006","2","2006","2","2005","3",
"1400000US13057091006","Census Tract 910.06; Cherokee County; Georgia","1995","2","1994","1","2004","7",
"1400000US13057091007","Census Tract 910.07; Cherokee County; Georgia","1995","2","1994","2","1996","3",
"1400000US13057091009","Census Tract 910.09; Cherokee County; Georgia","2002","2","1999","2","2009","3",
"1400000US13057091010","Census Tract 910.10; Cherokee County; Georgia","1993","2","1993","1","1993","27",
"1400000US13057091011","Census Tract 910.11; Cherokee County; Georgia","1995","1","1996","2","1994","2",
"1400000US13057091012","Census Tract 910.12; Cherokee County; Georgia","1993","2","1981","15","1997","4",
"1400000US13057091013","Census Tract 910.13; Cherokee County; Georgia","1993","3","1988","3","1995","3",
"1400000US13057091014","Census Tract 910.14; Cherokee County; Georgia","2002","3","2002","3","2003","4",
"1400000US13057091101","Census Tract 911.01; Cherokee County; Georgia","1987","2","1987","2","1984","7",
"1400000US13057091104","Census Tract 911.04; Cherokee County; Georgia","2004","4","2005","4","1975","6",
"1400000US13057091105","Census Tract 911.05; Cherokee County; Georgia","1996","1","1996","2","1995","2",
"1400000US13057091106","Census Tract 911.06; Cherokee County; Georgia","1994","9","1989","13","1998","8",
"1400000US13057091107","Census Tract 911.07; Cherokee County; Georgia","1998","5","1997","8","1998","12",
"1400000US13057091108","Census Tract 911.08; Cherokee County; Georgia","1989","4","1990","6","1986","7",
"1400000US13063040202","Census Tract 402.02; Clayton County; Georgia","1981","6","1976","8","1987","9",
"1400000US13063040203","Census Tract 402.03; Clayton County; Georgia","1988","14","2004","2","1980","6",
"1400000US13063040204","Census Tract 402.04; Clayton County; Georgia","1988","3","2001","11","1981","3",
"1400000US13063040302","Census Tract 403.02; Clayton County; Georgia","1966","3","1957","2","1969","4",
"1400000US13063040306","Census Tract 403.06; Clayton County; Georgia","1972","5","-","**","1972","5",
"1400000US13063040307","Census Tract 403.07; Clayton County; Georgia","1966","3","1964","3","1978","21",
"1400000US13063040308","Census Tract 403.08; Clayton County; Georgia","1965","5","1957","2","1975","5",
