"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US13057090101","Census Tract 901.01; Cherokee County; Georgia","238","246","0","14","183","242","5","8","0","14","14","22","0","14","8","14","13","21","13","19","2","4",
"1400000US13057090102","Census Tract 901.02; Cherokee County; Georgia","199","105","0","20","0","20","0","20","10","18","58","76","0","20","21","34","17","27","51","52","42","66",
"1400000US13057090103","Census Tract 901.03; Cherokee County; Georgia","153","77","0","14","59","74","22","28","16","15","18","19","2","3","0","14","0","14","36","27","0","14",
"1400000US13057090201","Census Tract 902.01; Cherokee County; Georgia","172","129","15","12","25","31","0","14","1","4","2","3","0","14","0","14","34","58","95","112","0","14",
"1400000US13057090202","Census Tract 902.02; Cherokee County; Georgia","343","185","0","20","3","4","19","29","99","107","40","52","43","68","0","20","0","20","77","88","62","90",
"1400000US13057090301","Census Tract 903.01; Cherokee County; Georgia","309","161","0","20","0","20","0","20","8","14","0","20","31","50","12","20","76","109","182","155","0","20",
"1400000US13057090302","Census Tract 903.02; Cherokee County; Georgia","72","63","0","14","0","14","16","25","0","14","0","14","0","14","42","56","0","14","8","15","6","12",
"1400000US13057090303","Census Tract 903.03; Cherokee County; Georgia","317","211","0","20","16","26","50","77","0","20","66","79","0","20","96","151","0","20","89","114","0","20",
"1400000US13057090401","Census Tract 904.01; Cherokee County; Georgia","2082","412","0","20","113","124","0","20","416","207","275","158","147","129","173","192","161","126","692","275","105","107",
"1400000US13057090402","Census Tract 904.02; Cherokee County; Georgia","1044","250","11","20","40","53","189","115","77","71","182","124","19","25","165","131","36","41","174","103","151","117",
