"GEO_ID","NAME","B25082_001E","B25082_001M","B25082_002E","B25082_002M","B25082_003E","B25082_003M",
"Geography","Geographic Area Name","Estimate!!Aggregate value (dollars):","Margin of Error!!Aggregate value (dollars):","Estimate!!Aggregate value (dollars):!!Housing units with a mortgage (dollars)","Margin of Error!!Aggregate value (dollars):!!Housing units with a mortgage (dollars)","Estimate!!Aggregate value (dollars):!!Housing units without a mortgage (dollars)","Margin of Error!!Aggregate value (dollars):!!Housing units without a mortgage (dollars)",
"1400000US13057090101","Census Tract 901.01; Cherokee County; Georgia","533203800","95953062","408914600","95203805","124289200","37820231",
"1400000US13057090102","Census Tract 901.02; Cherokee County; Georgia","968952800","322959590","815855800","323454588","153097000","51542429",
"1400000US13057090103","Census Tract 901.03; Cherokee County; Georgia","240491900","35972405","163884100","39026120","76607800","40884396",
"1400000US13057090201","Census Tract 902.01; Cherokee County; Georgia","258304700","49161186","177180300","38611839","81124500","34096692",
"1400000US13057090202","Census Tract 902.02; Cherokee County; Georgia","881503200","161422175","597414900","155434018","284088400","95422816",
"1400000US13057090301","Census Tract 903.01; Cherokee County; Georgia","952331800","301944753","601245300","154641457","351086600","268479991",
"1400000US13057090302","Census Tract 903.02; Cherokee County; Georgia","258300200","43059681","209288000","46362446","49012100","19403683",
"1400000US13057090303","Census Tract 903.03; Cherokee County; Georgia","1215519000","300873973","851220000","303572596","364299000","87931167",
"1400000US13057090401","Census Tract 904.01; Cherokee County; Georgia","98811100","44955572","55491700","30757373","43319400","33333054",
"1400000US13057090402","Census Tract 904.02; Cherokee County; Georgia","575956300","95441886","356380800","81267363","219575500","70851896",
"1400000US13057090503","Census Tract 905.03; Cherokee County; Georgia","1381222700","581936524","1050864500","558064615","330358300","121013901",
"1400000US13057090504","Census Tract 905.04; Cherokee County; Georgia","929913300","147371769","690732400","171950009","239180900","83619787",
"1400000US13057090505","Census Tract 905.05; Cherokee County; Georgia","923247500","108337542","657248300","114292573","265999100","96728496",
"1400000US13057090506","Census Tract 905.06; Cherokee County; Georgia","705069600","85310269","504142900","83990988","200926800","71456631",
"1400000US13057090507","Census Tract 905.07; Cherokee County; Georgia","438241100","159404301","345201500","157526798","93039700","44626496",
"1400000US13057090603","Census Tract 906.03; Cherokee County; Georgia","799185600","192389611","561891000","105039914","237294600","183753807",
"1400000US13057090604","Census Tract 906.04; Cherokee County; Georgia","323160200","79569538","189162300","72856559","133997900","45941789",
"1400000US13057090605","Census Tract 906.05; Cherokee County; Georgia","226306600","87391375","124805900","50783127","101500700","83425203",
"1400000US13057090606","Census Tract 906.06; Cherokee County; Georgia","392455600","82024103","261458500","82590238","130997100","38245980",
"1400000US13057090703","Census Tract 907.03; Cherokee County; Georgia","256989900","62787374","159538900","52895452","97451000","47202400",
"1400000US13057090704","Census Tract 907.04; Cherokee County; Georgia","359554300","88436907","261769300","75278436","97785000","52467225",
"1400000US13057090705","Census Tract 907.05; Cherokee County; Georgia","320919300","84875103","190535100","30178026","130384200","83552552",
"1400000US13057090706","Census Tract 907.06; Cherokee County; Georgia","671060100","200791078","511199200","194216401","159860900","68429515",
"1400000US13057090707","Census Tract 907.07; Cherokee County; Georgia","270851500","46837828","215614800","60253749","55236700","43694221",
"1400000US13057090708","Census Tract 907.08; Cherokee County; Georgia","570044200","194397356","484516900","204409698","85527300","61799825",
"1400000US13057090709","Census Tract 907.09; Cherokee County; Georgia","353572800","103048862","335038400","100738384","18534400","20245751",
"1400000US13057090710","Census Tract 907.10; Cherokee County; Georgia","560647100","123612717","424743800","121422194","135903300","63509981",
"1400000US13057090805","Census Tract 908.05; Cherokee County; Georgia","709996100","112572525","413772400","87930567","296223700","88643510",
"1400000US13057090806","Census Tract 908.06; Cherokee County; Georgia","730147000","163280886","401870600","84131161","328276300","165337093",
"1400000US13057090807","Census Tract 908.07; Cherokee County; Georgia","1006516000","145873937","891930200","145026296","114585800","61387628",
"1400000US13057090808","Census Tract 908.08; Cherokee County; Georgia","1050765500","176777068","730702000","193928811","320063500","110275829",
"1400000US13057090809","Census Tract 908.09; Cherokee County; Georgia","710348500","99929990","452475200","106134420","257873300","80295219",
"1400000US13057090810","Census Tract 908.10; Cherokee County; Georgia","768713300","136763608","537223700","132151131","231489600","82807351",
"1400000US13057090905","Census Tract 909.05; Cherokee County; Georgia","471200000","90303503","358876300","84851670","112323800","49576009",
"1400000US13057090906","Census Tract 909.06; Cherokee County; Georgia","1072979900","174723545","808656300","148768356","264323600","123181472",
"1400000US13057090907","Census Tract 909.07; Cherokee County; Georgia","586706600","80315692","394170200","72505446","192536400","67828174",
"1400000US13057090908","Census Tract 909.08; Cherokee County; Georgia","715627200","128786799","599416200","125500942","116211000","54182411",
"1400000US13057090909","Census Tract 909.09; Cherokee County; Georgia","684793200","141250887","581679600","141833785","103113700","43461110",
"1400000US13057090910","Census Tract 909.10; Cherokee County; Georgia","656775800","130977330","557017200","122290233","99758600","50238022",
"1400000US13057090911","Census Tract 909.11; Cherokee County; Georgia","725753400","89875851","501260200","83410663","224493100","67471463",
"1400000US13057090912","Census Tract 909.12; Cherokee County; Georgia","640222100","127889573","351378100","66476768","288844000","124757199",
"1400000US13057091001","Census Tract 910.01; Cherokee County; Georgia","411261700","84389842","312640500","88044962","98621100","36373033",
"1400000US13057091006","Census Tract 910.06; Cherokee County; Georgia","602275700","101869884","413065600","107274170","189210100","42339015",
"1400000US13057091007","Census Tract 910.07; Cherokee County; Georgia","1361113400","518973757","1022750900","478097256","338362500","217874156",
"1400000US13057091009","Census Tract 910.09; Cherokee County; Georgia","619338900","77473053","537342200","77662328","81996700","35487213",
"1400000US13057091010","Census Tract 910.10; Cherokee County; Georgia","507885500","80761628","349433600","84342209","158451900","47667876",
"1400000US13057091011","Census Tract 910.11; Cherokee County; Georgia","397903400","63738456","341558600","60191390","56344700","39929861",
"1400000US13057091012","Census Tract 910.12; Cherokee County; Georgia","296681200","48657502","191613500","39978282","105067700","33248709",
"1400000US13057091013","Census Tract 910.13; Cherokee County; Georgia","326867000","84083176","287577000","86565808","39290000","25571587",
"1400000US13057091014","Census Tract 910.14; Cherokee County; Georgia","283119600","64398472","246740000","56494700","36379600","26369854",
"1400000US13057091101","Census Tract 911.01; Cherokee County; Georgia","903295800","229817112","537012200","206330983","366283600","186807549",
"1400000US13057091104","Census Tract 911.04; Cherokee County; Georgia","617314500","73917873","497334200","87948285","119980200","48915947",
"1400000US13057091105","Census Tract 911.05; Cherokee County; Georgia","301955900","73659953","249771100","77001899","52184700","27297409",
"1400000US13057091106","Census Tract 911.06; Cherokee County; Georgia","498253500","141225768","319961100","92750937","178292400","134943061",
"1400000US13057091107","Census Tract 911.07; Cherokee County; Georgia","354660000","74262784","279879400","80121026","74780600","35579734",
"1400000US13057091108","Census Tract 911.08; Cherokee County; Georgia","173547800","34496920","157260400","34718094","16287400","11828108",
"1400000US13063040202","Census Tract 402.02; Clayton County; Georgia","50256900","15762238","35988900","15008159","14268000","9385804",
"1400000US13063040203","Census Tract 402.03; Clayton County; Georgia","147709900","44739579","122399400","43313785","25310500","17025251",
"1400000US13063040204","Census Tract 402.04; Clayton County; Georgia","159833100","46841105","136088100","42187216","23745000","17862948",
"1400000US13063040302","Census Tract 403.02; Clayton County; Georgia","75558900","29557201","46351900","23636296","29207000","16351184",
"1400000US13063040306","Census Tract 403.06; Clayton County; Georgia","null","null","null","null","null","null",
"1400000US13063040307","Census Tract 403.07; Clayton County; Georgia","166294400","38297753","106454000","37304723","59840400","23200805",
