"GEO_ID","NAME","B25091_001E","B25091_001M","B25091_002E","B25091_002M","B25091_003E","B25091_003M","B25091_004E","B25091_004M","B25091_005E","B25091_005M","B25091_006E","B25091_006M","B25091_007E","B25091_007M","B25091_008E","B25091_008M","B25091_009E","B25091_009M","B25091_010E","B25091_010M","B25091_011E","B25091_011M","B25091_012E","B25091_012M","B25091_013E","B25091_013M","B25091_014E","B25091_014M","B25091_015E","B25091_015M","B25091_016E","B25091_016M","B25091_017E","B25091_017M","B25091_018E","B25091_018M","B25091_019E","B25091_019M","B25091_020E","B25091_020M","B25091_021E","B25091_021M","B25091_022E","B25091_022M","B25091_023E","B25091_023M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Housing units with a mortgage:","Margin of Error!!Total:!!Housing units with a mortgage:","Estimate!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent","Estimate!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent","Margin of Error!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent","Estimate!!Total:!!Housing units with a mortgage:!!50.0 percent or more","Margin of Error!!Total:!!Housing units with a mortgage:!!50.0 percent or more","Estimate!!Total:!!Housing units with a mortgage:!!Not computed","Margin of Error!!Total:!!Housing units with a mortgage:!!Not computed","Estimate!!Total:!!Housing units without a mortgage:","Margin of Error!!Total:!!Housing units without a mortgage:","Estimate!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent","Estimate!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent","Margin of Error!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent","Estimate!!Total:!!Housing units without a mortgage:!!50.0 percent or more","Margin of Error!!Total:!!Housing units without a mortgage:!!50.0 percent or more","Estimate!!Total:!!Housing units without a mortgage:!!Not computed","Margin of Error!!Total:!!Housing units without a mortgage:!!Not computed",
"1400000US13057090101","Census Tract 901.01; Cherokee County; Georgia","1556","206","1162","220","121","74","184","90","344","111","167","93","55","40","8","10","47","56","142","183","94","52","0","14","394","101","178","68","70","37","29","40","0","14","27","31","0","14","0","14","27","25","63","62","0","14",
"1400000US13057090102","Census Tract 901.02; Cherokee County; Georgia","1603","187","1173","197","47","49","129","80","219","132","134","83","238","137","36","43","48","76","67","65","255","125","0","20","430","124","277","101","39","40","23","38","47","58","0","20","0","20","14","22","30","43","0","20","0","20",
"1400000US13057090103","Census Tract 901.03; Cherokee County; Georgia","716","104","503","116","93","62","161","87","97","66","18","13","69","34","21","16","3","5","11","12","30","33","0","14","213","79","84","35","5","7","14","17","51","68","6","9","29","32","0","14","0","14","24","37","0","14",
"1400000US13057090201","Census Tract 902.01; Cherokee County; Georgia","725","98","488","91","24","19","83","48","72","50","114","86","74","53","5","9","67","72","33","34","16","25","0","14","237","82","108","52","52","37","0","14","13","15","23","26","7","12","17","28","2","3","15","24","0","14",
"1400000US13057090202","Census Tract 902.02; Cherokee County; Georgia","2097","354","1367","344","101","68","392","200","270","122","200","146","57","63","126","105","42","44","134","173","45","43","0","20","730","213","375","150","235","127","16","25","0","20","0","20","0","20","0","20","0","20","87","79","17","27",
"1400000US13057090301","Census Tract 903.01; Cherokee County; Georgia","1667","270","1234","272","194","116","386","253","138","97","120","82","112","102","106","93","28","35","95","95","55","65","0","20","433","161","248","123","96","71","11","19","0","20","0","20","0","20","0","20","0","20","62","59","16","26",
"1400000US13057090302","Census Tract 903.02; Cherokee County; Georgia","626","86","450","89","46","41","126","68","106","55","8","15","46","49","41","39","17","20","4","10","35","33","21","35","176","63","106","62","45","56","18","20","0","14","0","14","0","14","0","14","0","14","7","14","0","14",
"1400000US13057090303","Census Tract 903.03; Cherokee County; Georgia","2497","371","1553","335","103","73","341","208","153","87","519","279","140","83","91","65","68","65","53","86","85","63","0","20","944","209","563","178","149","110","201","149","0","20","14","23","0","20","0","20","0","20","0","20","17","28",
"1400000US13057090401","Census Tract 904.01; Cherokee County; Georgia","422","191","251","156","18","41","10","20","57","51","0","20","6","13","23","39","0","20","0","20","137","146","0","20","171","130","11","18","0","20","29","40","22","30","0","20","0","20","0","20","71","117","38","60","0","20",
"1400000US13057090402","Census Tract 904.02; Cherokee County; Georgia","1421","303","836","169","139","106","132","80","153","79","115","97","77","55","27","29","56","67","81","73","56","46","0","20","585","267","227","109","313","245","8","13","0","20","0","20","0","20","0","20","0","20","37","48","0","20",
"1400000US13057090503","Census Tract 905.03; Cherokee County; Georgia","1757","298","1219","252","184","109","211","110","264","146","291","149","8","13","55","60","0","14","19","23","187","214","0","14","538","202","348","150","146","128","24","23","0","14","7","12","6","10","0","14","0","14","0","14","7","12",
"1400000US13057090504","Census Tract 905.04; Cherokee County; Georgia","1723","340","1330","382","167","214","156","84","325","164","341","156","71","64","173","223","0","20","9","14","88","71","0","20","393","134","286","108","30","49","0","20","0","20","77","105","0","20","0","20","0","20","0","20","0","20",
"1400000US13057090505","Census Tract 905.05; Cherokee County; Georgia","1550","148","1141","160","92","74","195","86","276","124","167","87","197","124","39","48","66","52","32","32","77","60","0","20","409","112","236","103","83","75","50","45","13","20","17","28","0","20","0","20","0","20","10","17","0","20",
"1400000US13057090506","Census Tract 905.06; Cherokee County; Georgia","1425","170","1024","166","113","91","227","105","290","136","152","94","29","35","87","65","0","14","36","35","90","61","0","14","401","127","234","110","50","51","33","34","0","14","9","15","34","38","0","14","8","13","33","30","0","14",
"1400000US13057090507","Census Tract 905.07; Cherokee County; Georgia","870","334","530","174","51","71","76","43","83","43","35","28","89","127","44","41","65","52","18","18","69","42","0","14","340","298","270","296","10","13","12","15","10","11","13","19","0","14","0","14","0","14","25","24","0","14",
